Agency	Агентство
ballistic	балістичної
base	база
civil	цивільної
classification	класифікації
Command	командного
command	командування
Component	компонента
component	компонента
Configuration	конфігураційного
control	контроль
crisis	кризових
electromagnetic	електромагнітної
Electronic	електронного
Electronic	електронного
Element	елементу
Element	елемента
function	функціонування
group	групи
identification	ідентифікувати
Identification	ідентифікація
incident	інцидентами
information	інформаційних
integration	інтеграції
logistics	логістичних
maritime	морської
medical	медичної
medical	медичною
mine	мін
mine	розмінування
mission	місії
mission	місій
multinational	багатонаціональними
neutral	нейтральних
Operational	оперативна
operational	операції
Operation	операції
Operation	операцій
personnel	персоналу
procedures	процедур	
Procedures	Процедури
procedures	процедури
rationalization	раціоналізація
resources	ресурсів
risk	ризиками
risk	ризики
Special	спеціального
staff	штаб
System	Система
system	системи
system	системі
system	системою
tactics	тактику
tactics	тактиці
techniques	технічним
techniques	техніки
virus	віруси
