agency, агентство, 4, 0.4444, 1.4000, 0.1556, 2.8000, 0.3111, 3.4000, 0.3778, 4.0000, 0.4444, 4.6000, 0.5111
agency, агентство, 4, 0.4444, 1.4000, 0.1556, 2.4000, 0.2667, 3.0000, 0.3333, 3.6000, 0.4000, 4.2000, 0.4667

ballistic, балістичної, 6, 0.5455, 1.0000, 0.0909, 1.8000, 0.1636, 2.6000, 0.2364, 3.4000, 0.3091, 4.2000, 0.3818
ballistic, балістичної, 6, 0.5455, 1.0000, 0.0909, 1.8000, 0.1636, 2.6000, 0.2364, 3.4000, 0.3091, 4.2000, 0.3818

base, база, 2, 0.5000, 0.6000, 0.1500, 0.6000, 0.1500, 0.6000, 0.1500, 0.6000, 0.1500, 0.6000, 0.1500
base, база, 2, 0.5000, 0.6000, 0.1500, 0.6000, 0.1500, 0.6000, 0.1500, 0.6000, 0.1500, 0.6000, 0.1500

civil, цивільної, 6, 0.6667, 1.4000, 0.1556, 2.2000, 0.2444, 3.0000, 0.3333, 3.8000, 0.4222, 4.6000, 0.5111
civil, цивільної, 6, 0.6667, 1.4000, 0.1556, 2.2000, 0.2444, 3.0000, 0.3333, 3.8000, 0.4222, 4.6000, 0.5111

classification, класифікації, 7, 0.5000, 2.6000, 0.1857, 4.2000, 0.3000, 4.6000, 0.3286, 5.0000, 0.3571, 5.4000, 0.3857
classification, класифікації, 7, 0.5000, 2.2000, 0.1571, 3.2000, 0.2286, 3.6000, 0.2571, 4.0000, 0.2857, 4.4000, 0.3143

command, командного, 6, 0.6000, 2.0000, 0.2000, 3.0000, 0.3000, 4.0000, 0.4000, 5.0000, 0.5000, 6.0000, 0.6000
command, командного, 6, 0.6000, 1.8000, 0.1800, 2.8000, 0.2800, 3.8000, 0.3800, 4.8000, 0.4800, 5.4000, 0.5400

command, командування, 8, 0.6667, 2.4000, 0.2000, 3.8000, 0.3167, 5.2000, 0.4333, 6.4000, 0.5333, 7.4000, 0.6167
command, командування, 8, 0.6667, 2.2000, 0.1833, 3.4000, 0.2833, 4.4000, 0.3667, 5.4000, 0.4500, 6.4000, 0.5333

component, компонента, 2, 0.2000, 1.2000, 0.1200, 1.4000, 0.1400, 1.6000, 0.1600, 1.8000, 0.1800, 2.0000, 0.2000
component, компонента, 2, 0.2000, 0.8000, 0.0800, 1.0000, 0.1000, 1.2000, 0.1200, 1.4000, 0.1400, 1.6000, 0.1600

component, компонента, 2, 0.2000, 1.2000, 0.1200, 1.4000, 0.1400, 1.6000, 0.1600, 1.8000, 0.1800, 2.0000, 0.2000
component, компонента, 2, 0.2000, 0.8000, 0.0800, 1.0000, 0.1000, 1.2000, 0.1200, 1.4000, 0.1400, 1.6000, 0.1600

configuration, конфігураційного, 6, 0.3750, 2.2000, 0.1375, 3.6000, 0.2250, 4.2000, 0.2625, 4.8000, 0.3000, 5.4000, 0.3375
configuration, конфігураційного, 6, 0.3750, 1.8000, 0.1125, 2.8000, 0.1750, 3.4000, 0.2125, 4.0000, 0.2500, 4.6000, 0.2875

control, контроль, 2, 0.2500, 1.0000, 0.1250, 1.2000, 0.1500, 1.4000, 0.1750, 1.6000, 0.2000, 1.8000, 0.2250
control, контроль, 2, 0.2500, 0.8000, 0.1000, 1.0000, 0.1250, 1.2000, 0.1500, 1.4000, 0.1750, 1.6000, 0.2000

crisis, кризових, 7, 0.8750, 2.2000, 0.2750, 3.0000, 0.3750, 3.4000, 0.4250, 3.8000, 0.4750, 4.2000, 0.5250
crisis, кризових, 7, 0.8750, 2.0000, 0.2500, 2.4000, 0.3000, 2.8000, 0.3500, 3.2000, 0.4000, 3.6000, 0.4500

electromagnetic, електромагнітної, 5, 0.3125, 1.4000, 0.0875, 2.4000, 0.1500, 3.0000, 0.1875, 3.4000, 0.2125, 3.6000, 0.2250
electromagnetic, електромагнітної, 5, 0.3125, 1.4000, 0.0875, 2.2000, 0.1375, 2.8000, 0.1750, 3.2000, 0.2000, 3.4000, 0.2125

electronic, електронного, 5, 0.4167, 1.6000, 0.1333, 3.0000, 0.2500, 3.4000, 0.2833, 3.8000, 0.3167, 4.2000, 0.3500
electronic, електронного, 5, 0.4167, 1.6000, 0.1333, 2.8000, 0.2333, 3.2000, 0.2667, 3.6000, 0.3000, 4.0000, 0.3333

electronic, електронного, 5, 0.4167, 1.6000, 0.1333, 3.0000, 0.2500, 3.4000, 0.2833, 3.8000, 0.3167, 4.2000, 0.3500
electronic, електронного, 5, 0.4167, 1.6000, 0.1333, 2.8000, 0.2333, 3.2000, 0.2667, 3.6000, 0.3000, 4.0000, 0.3333

element, елементу, 1, 0.1250, 0.2000, 0.0250, 0.4000, 0.0500, 0.6000, 0.0750, 0.8000, 0.1000, 1.0000, 0.1250
element, елементу, 1, 0.1250, 0.2000, 0.0250, 0.4000, 0.0500, 0.6000, 0.0750, 0.8000, 0.1000, 1.0000, 0.1250

element, елемента, 1, 0.1250, 0.2000, 0.0250, 0.4000, 0.0500, 0.6000, 0.0750, 0.8000, 0.1000, 1.0000, 0.1250
element, елемента, 1, 0.1250, 0.2000, 0.0250, 0.4000, 0.0500, 0.6000, 0.0750, 0.8000, 0.1000, 1.0000, 0.1250

function, функціонування, 8, 0.5714, 1.8000, 0.1286, 3.4000, 0.2429, 5.0000, 0.3571, 6.4000, 0.4571, 7.6000, 0.5429
function, функціонування, 8, 0.5714, 1.8000, 0.1286, 3.2000, 0.2286, 4.4000, 0.3143, 5.6000, 0.4000, 6.8000, 0.4857

group, групи, 2, 0.4000, 0.6000, 0.1200, 1.0000, 0.2000, 1.4000, 0.2800, 1.8000, 0.3600, 2.2000, 0.4400
group, групи, 2, 0.4000, 0.4000, 0.0800, 0.8000, 0.1600, 1.2000, 0.2400, 1.6000, 0.3200, 2.0000, 0.4000

identification, ідентифікувати, 7, 0.5000, 1.8000, 0.1286, 3.0000, 0.2143, 3.8000, 0.2714, 4.6000, 0.3286, 4.8000, 0.3429
identification, ідентифікувати, 7, 0.5000, 1.8000, 0.1286, 2.8000, 0.2000, 3.6000, 0.2571, 4.4000, 0.3143, 4.6000, 0.3286

identification, ідентифікація, 5, 0.3571, 1.8000, 0.1286, 3.0000, 0.2143, 3.2000, 0.2286, 3.4000, 0.2429, 3.6000, 0.2571
identification, ідентифікація, 5, 0.3571, 1.6000, 0.1143, 2.2000, 0.1571, 2.4000, 0.1714, 2.6000, 0.1857, 2.8000, 0.2000

incident, інцидентами, 5, 0.4545, 1.2000, 0.1091, 1.8000, 0.1636, 2.4000, 0.2182, 3.0000, 0.2727, 3.6000, 0.3273
incident, інцидентами, 5, 0.4545, 1.2000, 0.1091, 1.8000, 0.1636, 2.4000, 0.2182, 3.0000, 0.2727, 3.6000, 0.3273

information, інформаційних, 4, 0.3077, 1.2000, 0.0923, 2.4000, 0.1846, 3.0000, 0.2308, 3.4000, 0.2615, 3.8000, 0.2923
information, інформаційних, 4, 0.3077, 1.0000, 0.0769, 1.8000, 0.1385, 2.4000, 0.1846, 2.8000, 0.2154, 3.2000, 0.2462

integration, інтеграції, 3, 0.2727, 1.0000, 0.0909, 2.0000, 0.1818, 2.2000, 0.2000, 2.4000, 0.2182, 2.6000, 0.2364
integration, інтеграції, 3, 0.2727, 0.8000, 0.0727, 1.4000, 0.1273, 1.6000, 0.1455, 1.8000, 0.1636, 2.0000, 0.1818

logistics, логістичних, 5, 0.4545, 1.0000, 0.0909, 1.8000, 0.1636, 2.2000, 0.2000, 2.6000, 0.2364, 3.0000, 0.2727
logistics, логістичних, 5, 0.4545, 1.0000, 0.0909, 1.4000, 0.1273, 1.8000, 0.1636, 2.2000, 0.2000, 2.6000, 0.2364

maritime, морської, 6, 0.7500, 2.2000, 0.2750, 3.6000, 0.4500, 4.4000, 0.5500, 4.8000, 0.6000, 4.8000, 0.6000
maritime, морської, 6, 0.7500, 2.0000, 0.2500, 3.2000, 0.4000, 4.0000, 0.5000, 4.4000, 0.5500, 4.8000, 0.6000

medical, медичної, 5, 0.6250, 1.4000, 0.1750, 2.0000, 0.2500, 2.4000, 0.3000, 2.6000, 0.3250, 2.8000, 0.3500
medical, медичної, 5, 0.6250, 1.2000, 0.1500, 1.8000, 0.2250, 2.4000, 0.3000, 2.6000, 0.3250, 2.8000, 0.3500

medical, медичною, 5, 0.6250, 1.4000, 0.1750, 2.0000, 0.2500, 2.4000, 0.3000, 2.6000, 0.3250, 2.8000, 0.3500
medical, медичною, 5, 0.6250, 1.2000, 0.1500, 1.8000, 0.2250, 2.4000, 0.3000, 2.6000, 0.3250, 2.8000, 0.3500

mine, мін, 1, 0.2500, 0.2000, 0.0500, 0.4000, 0.1000, 0.6000, 0.1500, 0.8000, 0.2000, 1.0000, 0.2500
mine, мін, 1, 0.2500, 0.2000, 0.0500, 0.4000, 0.1000, 0.6000, 0.1500, 0.8000, 0.2000, 1.0000, 0.2500

mine, розмінування, 9, 0.7500, 2.8000, 0.2333, 4.4000, 0.3667, 6.0000, 0.5000, 7.4000, 0.6167, 8.4000, 0.7000
mine, розмінування, 9, 0.7500, 2.6000, 0.2167, 4.2000, 0.3500, 5.8000, 0.4833, 7.4000, 0.6167, 8.4000, 0.7000

mission, місії, 3, 0.4286, 0.8000, 0.1143, 1.6000, 0.2286, 2.0000, 0.2857, 2.4000, 0.3429, 2.8000, 0.4000
mission, місії, 3, 0.4286, 0.8000, 0.1143, 1.6000, 0.2286, 2.0000, 0.2857, 2.4000, 0.3429, 2.8000, 0.4000

mission, місій, 3, 0.4286, 0.8000, 0.1143, 1.6000, 0.2286, 2.0000, 0.2857, 2.4000, 0.3429, 2.8000, 0.4000
mission, місій, 3, 0.4286, 0.8000, 0.1143, 1.4000, 0.2000, 1.8000, 0.2571, 2.2000, 0.3143, 2.6000, 0.3714

multinational, багатонаціональними, 11, 0.5789, 3.6000, 0.1895, 5.8000, 0.3053, 7.0000, 0.3684, 8.2000, 0.4316, 9.4000, 0.4947
multinational, багатонаціональними, 11, 0.5789, 3.0000, 0.1579, 4.8000, 0.2526, 6.0000, 0.3158, 7.2000, 0.3789, 8.4000, 0.4421

neutral, нейтральних, 5, 0.4545, 1.2000, 0.1091, 2.4000, 0.2182, 3.4000, 0.3091, 4.2000, 0.3818, 5.0000, 0.4545
neutral, нейтральних, 5, 0.4545, 1.2000, 0.1091, 2.4000, 0.2182, 3.4000, 0.3091, 4.2000, 0.3818, 5.0000, 0.4545

operational, оперативна, 3, 0.2727, 1.0000, 0.0909, 1.6000, 0.1455, 2.0000, 0.1818, 2.2000, 0.2000, 2.4000, 0.2182
operational, оперативна, 3, 0.2727, 0.8000, 0.0727, 1.4000, 0.1273, 1.8000, 0.1636, 2.0000, 0.1818, 2.2000, 0.2000

operational, операції, 5, 0.4545, 1.6000, 0.1455, 2.8000, 0.2545, 3.4000, 0.3091, 4.0000, 0.3636, 4.6000, 0.4182
operational, операції, 5, 0.4545, 1.2000, 0.1091, 2.0000, 0.1818, 2.6000, 0.2364, 3.2000, 0.2909, 3.8000, 0.3455

operation, операції, 3, 0.3333, 1.2000, 0.1333, 2.2000, 0.2444, 2.4000, 0.2667, 2.6000, 0.2889, 2.8000, 0.3111
operation, операції, 3, 0.3333, 0.8000, 0.0889, 1.4000, 0.1556, 1.6000, 0.1778, 1.8000, 0.2000, 2.0000, 0.2222

operation, операцій, 3, 0.3333, 1.2000, 0.1333, 2.2000, 0.2444, 2.4000, 0.2667, 2.6000, 0.2889, 2.8000, 0.3111
operation, операцій, 3, 0.3333, 0.8000, 0.0889, 1.2000, 0.1333, 1.4000, 0.1556, 1.6000, 0.1778, 1.8000, 0.2000

personnel, персоналу, 3, 0.3333, 1.0000, 0.1111, 1.4000, 0.1556, 1.8000, 0.2000, 2.2000, 0.2444, 2.6000, 0.2889
