а	ua;ru	type:vowel	backness:back	height:open	roundedness:unrounded	palate:nonpalatalizing
б	ua;ru	type:consonant	voice:pl-voiced	maner:pl-plosive	active:pl-labial	passive:pl-bilabial
в	ua	type:consonant	voice:fl-voiced	maner:fl-fricative	active:fl-labial	passive:fl-bilabial
в	ru	type:consonant	voice:fl-voiced	maner:fl-fricative	active:fl-labial	passive:fl-labiodental
# г	ua	type:consonant	voice:fg-voiced	maner:fg-fricative	active:fg-glotal	passive:fg-velar
г	ua;ru	type:consonant	voice:pb-voiced	maner:pb-plosive	active:pb-backtongue	passive:pb-velar
ґ	ua	type:consonant	voice:pb-voiced	maner:pb-plosive	active:pb-backtongue	passive:pb-velar
д	ua;ru	type:consonant	voice:pf-voiced	maner:pf-plosive	active:pf-fronttongue	passive:pf-palveolar
э	ru	type:vowel	backness:front	height:mid	roundedness:unrounded	palate:nonpalatalizing
е	ua	type:vowel	backness:front	height:mid	roundedness:unrounded	palate:nonpalatalizing
е	ru	type:vowel	backness:front	height:mid	roundedness:unrounded	palate:palatalizing
є	ua	type:vowel	backness:front	height:mid	roundedness:unrounded	palate:palatalizing
ё	ru	type:vowel	backness:back	height:mid	roundedness:rounded	palate:palatalizing
ж	ua;ru	type:consonant	voice:ff-voiced	maner:ff-fricative	active:ff-fronttongue	passive:ff-palatal
з	ua;ru	type:consonant	voice:ffa-voiced	maner:ffa-fricative	active:ffa-fronttongue	passive:ffa-alveolar
ы	ru	type:vowel	backness:central	height:closemid	roundedness:unrounded	palate:nonpalatalizing
и	ua	type:vowel	backness:front	height:closemid	roundedness:unrounded	palate:nonpalatalizing
и	ru	type:vowel	backness:front	height:close	roundedness:unrounded	palate:nonpalatalizing
і	ua	type:vowel	backness:front	height:close	roundedness:unrounded	palate:nonpalatalizing
ї	ua	type:vowel	backness:front	height:close	roundedness:unrounded	palate:palatalizing
й	ua;ru	type:consonant	voice:am-sonorant	maner:am-approximant	active:am-midtongue	passive:am-palatal
к	ua;ru	type:consonant	voice:pb-unvoiced	maner:pb-plosive	active:pb-backtongue	passive:pb-velar
л	ua;ru	type:consonant	voice:lf-sonorant	maner:lf-lateral	active:lf-fronttongue	passive:lf-alveolar
м	ua;ru	type:consonant	voice:nl-sonorant	maner:nl-nasal	active:nl-labial	passive:nl-bilabial
н	ua;ru	type:consonant	voice:nf-sonorant	maner:nf-nasal	active:nf-fronttongue	passive:nf-alveolar
о	ua;ru	type:vowel	backness:back	height:mid	roundedness:rounded	palate:nonpalatalizing
п	ua;ru	type:consonant	voice:pl-unvoiced	maner:pl-plosive	active:pl-labial	passive:pl-bilabial
р	ua;ru	type:consonant	voice:xf-sonorant	maner:xf-approximant	active:xf-fronttongue	passive:xf-palatal
# р	ua;ru	type:consonant	voice:thf-sonorant	maner:thf-thrill	active:thf-fronttongue	passive:thf-tpalatal
с	ua;ru	type:consonant	voice:ffa-unvoiced	maner:ffa-fricative	active:ffa-fronttongue	passive:ffa-alveolar
т	ua;ru	type:consonant	voice:pf-unvoiced	maner:pf-plosive	active:pf-fronttongue	passive:pf-alveolar
у	ua;ru	type:vowel	backness:back	height:close	roundedness:rounded	palate:nonpalatalizing
ф	ua;ru	type:consonant	voice:fl-unvoiced	maner:fl-fricative	active:fl-labial	passive:fl-labiodental
х	ua;ru	type:consonant	voice:fb-unvoiced	maner:fb-fricative	active:fb-backtongue	passive:fb-velar
ц	ua;ru	type:consonant	voice:af-unvoiced	maner:af-affricate	active:af-fronttongue	passive:af-alveolar
ч	ua;ru	type:consonant	voice:af-unvoiced	maner:af-affricate	active:af-fronttongue	passive:af-palatal
ш	ua;ru	type:consonant	voice:ff-unvoiced	maner:ff-fricative	active:ff-fronttongue	passive:ff-palatal
# щ	ua;ru	type:consonant	voice:cpf-unvoiced	maner:cpf-compound	active:cpf-fronttongue	passive:cpf-palatal
щ	ua;ru	type:consonant	voice:ff-unvoiced	maner:ff-fricative	active:ff-fronttongue	passive:ff-palatal	voice:af-unvoiced	maner:af-affricate	active:af-fronttongue	passive:af-palatal
ю	ua;ru	type:vowel	backness:back	height:close	roundedness:rounded	palate:palatalizing
я	ua;ru	type:vowel	backness:back	height:open	roundedness:unrounded	palate:palatalizing
ъ	ru	type:silent
ь	ua;ru	type:silent
'	ua;en	type:silent
a	en;pt;es;fr;it	type:vowel	backness:back	height:open	roundedness:unrounded	palate:nonpalatalizing
á	pt;es;fr;it	type:vowel	backness:back	height:open	roundedness:unrounded	palate:nonpalatalizing
â	pt;es;fr;it	type:vowel	backness:back	height:open	roundedness:unrounded	palate:nonpalatalizing
ã	pt;es;fr;it	type:vowel	backness:back	height:open	roundedness:unrounded	palate:nonpalatalizing	maner:nasal	active:fronttongue	passive:alveolar
b	en;pt;es;fr;it	type:consonant	voice:pl-voiced	maner:pl-plosive	active:pl-labial	passive:pl-bilabial
c	en;pt;es;fr;it	type:consonant	voice:af-unvoiced	maner:af-affricate	active:af-fronttongue	passive:af-palatal
ç	pt;es;fr;it	type:consonant	voice:af-unvoiced	maner:af-affricate	active:af-fronttongue	passive:af-palatal
